00000	jmp	73
00073	call	2
00002	out	84
00004	out	104
00006	out	97
00008	out	110
00010	out	107
00012	out	32
00014	out	121
00016	out	111
00018	out	117
00020	out	44
00022	out	32
00024	out	116
00026	out	104
00028	out	105
00030	out	115
00032	out	32
00034	out	119
00036	out	97
00038	out	115
00040	out	32
00042	out	102
00044	out	117
00046	out	110
00048	out	32
00050	out	116
00052	out	111
00054	out	32
00056	out	119
00058	out	114
00060	out	105
00062	out	116
00064	out	101
00066	out	33
00068	out	13
00070	out	10
00072	ret	
00075	call	24
00024	out	116
00026	out	104
00028	out	105
00030	out	115
00032	out	32
00034	out	119
00036	out	97
00038	out	115
00040	out	32
00042	out	102
00044	out	117
00046	out	110
00048	out	32
00050	out	116
00052	out	111
00054	out	32
00056	out	119
00058	out	114
00060	out	105
00062	out	116
00064	out	101
00066	out	33
00068	out	13
00070	out	10
00072	ret	
00077	call	42
00042	out	102
00044	out	117
00046	out	110
00048	out	32
00050	out	116
00052	out	111
00054	out	32
00056	out	119
00058	out	114
00060	out	105
00062	out	116
00064	out	101
00066	out	33
00068	out	13
00070	out	10
00072	ret	
00079	out	7
00081	halt	
